iter	Passed	Remaining
0	143	143464
1	144	72292
2	146	48748
3	148	36929
4	149	29817
5	150	24988
6	151	21507
7	152	18892
8	153	16919
9	154	15283
10	155	13949
11	156	12882
12	157	11964
13	158	11192
14	162	10667
15	167	10308
16	170	9866
17	171	9382
18	173	8952
19	174	8544
20	175	8174
21	176	7834
22	177	7520
23	178	7240
24	179	6984
25	179	6736
26	181	6533
27	182	6332
28	183	6151
29	185	5988
30	187	5863
31	188	5702
32	189	5557
33	190	5411
34	191	5273
35	192	5148
36	193	5038
37	194	4922
38	195	4811
39	196	4705
40	196	4604
41	198	4528
42	199	4439
43	200	4355
44	201	4271
45	201	4188
46	202	4107
47	203	4030
48	205	3992
49	207	3948
50	211	3927
51	213	3883
52	215	3853
53	218	3828
54	222	3825
55	225	3796
56	230	3812
57	231	3765
58	234	3735
59	235	3690
60	236	3643
61	237	3596
62	238	3547
63	239	3501
64	240	3455
65	240	3410
66	241	3365
67	242	3321
68	243	3280
69	243	3240
70	244	3200
71	247	3183
72	248	3157
73	250	3131
74	254	3136
75	256	3117
76	258	3095
77	259	3063
78	259	3030
79	260	2999
80	261	2967
81	262	2934
82	262	2900
83	263	2873
84	264	2850
85	265	2824
86	268	2814
87	268	2786
88	270	2764
89	270	2738
90	271	2712
91	272	2688
92	273	2665
93	274	2641
94	274	2617
95	275	2597
96	276	2576
97	277	2555
98	278	2534
99	279	2514
100	280	2492
101	280	2471
102	281	2452
103	282	2433
104	283	2413
105	283	2393
106	284	2373
107	285	2354
108	285	2334
109	286	2315
110	286	2297
111	287	2279
112	289	2276
113	292	2272
114	293	2258
115	294	2246
116	295	2231
117	296	2215
118	297	2200
119	297	2184
120	298	2170
121	299	2154
122	300	2144
123	301	2132
124	302	2119
125	303	2105
126	304	2090
127	304	2076
128	305	2064
129	306	2050
130	307	2038
131	307	2024
132	308	2011
133	309	1998
134	309	1985
135	310	1972
136	311	1960
137	312	1950
138	313	1939
139	313	1928
140	315	1919
141	315	1907
142	316	1898
143	320	1903
144	321	1893
145	322	1884
146	322	1873
147	323	1862
148	324	1854
149	326	1847
150	326	1838
151	327	1828
152	328	1819
153	329	1808
154	329	1798
155	330	1790
156	332	1784
157	333	1777
158	335	1773
159	336	1765
160	337	1758
161	338	1752
162	340	1746
163	341	1740
164	345	1750
165	348	1748
166	349	1744
167	350	1736
168	351	1728
169	352	1720
170	353	1713
171	354	1704
172	356	1702
173	359	1705
174	360	1699
175	361	1694
176	362	1687
177	364	1681
178	366	1681
179	372	1696
180	375	1698
181	376	1692
182	377	1685
183	378	1677
184	379	1669
185	380	1665
186	382	1662
187	383	1657
188	384	1650
189	385	1645
190	390	1654
191	392	1651
192	393	1646
193	394	1639
194	395	1632
195	396	1626
196	397	1619
197	398	1613
198	399	1607
199	400	1600
200	400	1593
201	401	1585
202	402	1578
203	402	1571
204	403	1564
205	404	1559
206	405	1552
207	406	1548
208	407	1543
209	408	1537
210	409	1531
211	411	1530
212	412	1524
213	413	1519
214	414	1514
215	415	1509
216	418	1508
217	419	1504
218	420	1501
219	422	1497
220	423	1494
221	424	1488
222	425	1483
223	426	1478
224	428	1475
225	435	1491
226	437	1490
227	438	1485
228	441	1487
229	443	1485
230	444	1480
231	447	1481
232	448	1477
233	450	1473
234	452	1474
235	457	1481
236	460	1482
237	461	1478
238	462	1473
239	464	1472
240	465	1467
241	466	1462
242	467	1457
243	468	1452
244	469	1446
245	471	1443
246	472	1438
247	473	1434
248	474	1430
249	475	1425
250	475	1419
251	476	1415
252	477	1411
253	479	1407
254	480	1403
255	481	1398
256	483	1396
257	484	1392
258	485	1387
259	486	1383
260	487	1379
261	488	1374
262	490	1373
263	491	1369
264	492	1367
265	493	1362
266	495	1359
267	496	1355
268	497	1350
269	497	1346
270	499	1343
271	500	1338
272	501	1335
273	502	1330
274	503	1326
275	504	1322
276	505	1318
277	506	1314
278	508	1313
279	508	1308
280	510	1305
281	511	1302
282	513	1302
283	514	1298
284	515	1293
285	516	1289
286	517	1285
287	518	1281
288	519	1278
289	520	1274
290	521	1269
291	522	1266
292	523	1262
293	524	1259
294	525	1256
295	526	1252
296	528	1251
297	530	1248
298	531	1246
299	533	1244
300	534	1241
301	536	1239
302	538	1239
303	541	1238
304	542	1235
305	543	1233
306	546	1234
307	551	1238
308	552	1236
309	554	1233
310	556	1232
311	558	1232
312	559	1229
313	561	1226
314	564	1227
315	565	1224
316	566	1220
317	567	1217
318	568	1214
319	569	1210
320	571	1208
321	572	1205
322	574	1203
323	575	1201
324	576	1198
325	577	1194
326	579	1192
327	580	1189
328	581	1185
329	582	1182
330	584	1182
331	589	1185
332	592	1185
333	593	1183
334	595	1182
335	597	1181
336	599	1180
337	601	1177
338	601	1173
339	603	1172
340	605	1170
341	606	1166
342	607	1163
343	609	1162
344	610	1159
345	611	1156
346	613	1155
347	617	1157
348	626	1169
349	642	1193
350	646	1194
351	647	1192
352	650	1192
353	651	1189
354	653	1186
355	655	1186
356	656	1182
357	657	1178
358	658	1174
359	658	1171
360	660	1168
361	661	1166
362	668	1172
363	671	1173
364	673	1171
365	674	1168
366	675	1165
367	676	1162
368	678	1160
369	679	1156
370	680	1153
371	681	1149
372	681	1146
373	682	1142
374	683	1139
375	685	1136
376	685	1133
377	686	1130
378	688	1127
379	689	1124
380	690	1121
381	691	1117
382	691	1114
383	693	1111
384	694	1109
385	695	1106
386	696	1103
387	698	1101
388	700	1099
389	700	1096
390	701	1092
391	703	1091
392	704	1088
393	706	1085
394	706	1082
395	707	1079
396	708	1076
397	709	1073
398	710	1070
399	711	1067
400	713	1065
401	715	1064
402	716	1061
403	717	1058
404	719	1056
405	721	1055
406	722	1053
407	724	1050
408	725	1048
409	726	1045
410	727	1042
411	728	1039
412	729	1036
413	730	1033
414	731	1030
415	732	1027
416	733	1025
417	734	1022
418	735	1019
419	736	1017
420	738	1015
421	739	1012
422	740	1010
423	743	1009
424	744	1006
425	745	1004
426	746	1001
427	747	998
428	748	995
429	748	992
430	753	994
431	754	991
432	755	988
433	756	985
434	756	983
435	758	980
436	759	978
437	760	975
438	760	972
439	761	969
440	762	966
441	763	964
442	765	961
443	765	959
444	766	956
445	767	953
446	768	950
447	771	950
448	774	950
449	775	948
450	776	945
451	777	942
452	778	939
453	779	936
454	779	934
455	780	931
456	781	928
457	782	925
458	783	923
459	784	920
460	785	918
461	786	915
462	788	914
463	789	911
464	790	909
465	791	907
466	792	904
467	794	902
468	795	900
469	796	897
470	797	895
471	797	892
472	798	889
473	799	886
474	800	884
475	801	882
476	802	879
477	803	876
478	804	874
479	804	871
480	805	869
481	806	867
482	807	864
483	808	862
484	809	859
485	810	857
486	811	854
487	812	852
488	813	850
489	814	847
490	815	845
491	816	842
492	817	840
493	818	837
494	819	835
495	819	833
496	820	830
497	821	828
498	822	825
499	822	822
500	823	820
501	825	819
502	826	817
503	827	814
504	828	812
505	829	810
506	832	809
507	833	807
508	834	805
509	835	802
510	836	800
511	838	798
512	839	797
513	840	795
514	842	793
515	843	790
516	844	789
517	846	787
518	847	785
519	848	783
520	850	781
521	851	779
522	852	777
523	853	775
524	856	775
525	858	773
526	860	772
527	862	771
528	864	769
529	865	767
530	868	766
531	870	765
532	871	763
533	873	762
534	874	760
535	876	758
536	877	756
537	880	755
538	882	754
539	884	753
540	887	752
541	888	751
542	891	749
543	892	747
544	893	745
545	893	743
546	894	740
547	896	739
548	898	737
549	900	736
550	910	741
551	911	739
552	912	737
553	913	735
554	914	733
555	915	731
556	916	728
557	917	726
558	918	724
559	918	721
560	919	719
561	921	717
562	923	716
563	924	715
564	926	713
565	927	711
566	929	709
567	931	708
568	934	707
569	935	705
570	936	703
571	937	701
572	937	698
573	938	696
574	939	694
575	940	692
576	941	690
577	942	688
578	943	685
579	944	683
580	944	681
581	946	679
582	948	678
583	950	677
584	959	680
585	960	678
586	961	676
587	961	673
588	962	671
589	963	669
590	963	667
591	964	664
592	965	663
593	967	661
594	969	659
595	969	657
596	972	656
597	973	654
598	973	652
599	974	649
600	976	647
601	977	646
602	978	644
603	979	642
604	980	639
605	980	637
606	981	635
607	982	633
608	983	631
609	984	629
610	985	627
611	986	625
612	987	623
613	988	621
614	988	619
615	990	617
616	992	615
617	993	613
618	994	611
619	995	610
620	997	608
621	998	606
622	999	604
623	1000	602
624	1001	600
625	1002	598
626	1003	596
627	1004	595
628	1006	593
629	1007	591
630	1008	589
631	1009	587
632	1010	585
633	1011	583
634	1012	582
635	1014	580
636	1015	578
637	1021	579
638	1022	577
639	1023	575
640	1024	574
641	1026	572
642	1027	570
643	1028	568
644	1029	566
645	1031	565
646	1033	563
647	1036	562
648	1038	561
649	1039	559
650	1044	559
651	1045	558
652	1046	556
653	1048	554
654	1049	552
655	1050	550
656	1051	549
657	1052	547
658	1053	545
659	1054	543
660	1055	541
661	1056	539
662	1058	538
663	1059	536
664	1061	534
665	1063	533
666	1065	531
667	1067	530
668	1068	528
669	1069	526
670	1071	525
671	1072	523
672	1073	521
673	1074	519
674	1075	517
675	1075	515
676	1076	513
677	1077	511
678	1078	509
679	1079	508
680	1080	506
681	1081	504
682	1082	502
683	1083	500
684	1083	498
685	1084	496
686	1085	494
687	1086	492
688	1088	491
689	1089	489
690	1090	487
691	1091	485
692	1092	484
693	1093	482
694	1094	480
695	1095	478
696	1097	477
697	1098	475
698	1100	473
699	1101	471
700	1102	470
701	1103	468
702	1103	466
703	1104	464
704	1105	462
705	1106	460
706	1107	458
707	1108	457
708	1111	456
709	1113	454
710	1114	452
711	1116	451
712	1117	449
713	1118	448
714	1120	446
715	1122	445
716	1123	443
717	1124	441
718	1125	440
719	1126	438
720	1133	438
721	1135	437
722	1136	435
723	1137	433
724	1138	431
725	1139	430
726	1140	428
727	1142	426
728	1143	425
729	1144	423
730	1145	421
731	1146	419
732	1147	417
733	1148	416
734	1149	414
735	1149	412
736	1150	410
737	1151	408
738	1151	406
739	1155	406
740	1160	405
741	1161	404
742	1162	402
743	1163	400
744	1165	398
745	1166	397
746	1168	395
747	1169	394
748	1171	392
749	1172	390
750	1173	389
751	1174	387
752	1174	385
753	1175	383
754	1176	381
755	1177	380
756	1178	378
757	1179	376
758	1180	374
759	1182	373
760	1185	372
761	1186	370
762	1187	368
763	1188	367
764	1189	365
765	1190	363
766	1191	361
767	1192	360
768	1193	358
769	1194	356
770	1195	355
771	1197	353
772	1198	351
773	1199	350
774	1200	348
775	1201	346
776	1202	345
777	1203	343
778	1204	341
779	1207	340
780	1208	338
781	1209	337
782	1210	335
783	1214	334
784	1215	332
785	1215	330
786	1216	329
787	1217	327
788	1218	325
789	1219	324
790	1220	322
791	1221	320
792	1222	318
793	1222	317
794	1223	315
795	1223	313
796	1225	312
797	1228	310
798	1229	309
799	1231	307
800	1232	306
801	1233	304
802	1235	302
803	1236	301
804	1237	299
805	1238	298
806	1239	296
807	1240	294
808	1241	293
809	1241	291
810	1242	289
811	1243	287
812	1244	286
813	1245	284
814	1246	282
815	1247	281
816	1251	280
817	1252	278
818	1253	276
819	1254	275
820	1255	273
821	1257	272
822	1258	270
823	1259	268
824	1260	267
825	1261	265
826	1261	263
827	1262	262
828	1263	260
829	1264	258
830	1264	257
831	1265	255
832	1266	253
833	1266	252
834	1267	250
835	1268	248
836	1269	247
837	1270	245
838	1271	243
839	1272	242
840	1273	240
841	1274	239
842	1275	237
843	1276	235
844	1277	234
845	1277	232
846	1278	230
847	1279	229
848	1280	227
849	1281	226
850	1282	224
851	1283	222
852	1283	221
853	1284	219
854	1285	217
855	1285	216
856	1286	214
857	1287	213
858	1288	211
859	1289	209
860	1290	208
861	1291	206
862	1291	205
863	1292	203
864	1293	201
865	1294	200
866	1296	198
867	1298	197
